"","train_fit","Actual"
"590",78.7239958616872,79
"591",79.1548863059535,79
"592",79.4238302793873,79
"594",79.7085376417795,79
"595",78.2906733510718,79
"597",79.3840084249609,79
"598",79.973824850002,79
"600",79.2063391122414,79
"601",78.9572818200898,79
"602",80.3313672905398,79
"603",78.314823423362,79
"604",78.2939231209906,79
"605",79.3446631193724,79
"607",78.2936320365789,79
"609",79.7098140174845,79
"610",78.9875455642157,79
"611",79.8378565258808,79
"612",80.1664743378445,79
"613",79.0383958758493,79
"615",78.289724373836,79
"620",79.3680920873512,79
"624",77.0850873509652,79
"625",78.6868588660653,79
"626",78.9747126170058,79
"627",78.9666165289135,79
"629",78.1687390850764,79
"630",78.6425916416835,79
"633",77.6859821951375,79
"634",78.9180936355806,79
"635",79.7081004326568,79
"636",79.4345108937885,79
"638",79.6603448913109,79
"640",79.350637825305,79
"641",79.428172879878,79
"644",79.6005124101462,79
"645",79.7082913836817,79
"646",79.7073666878581,79
"647",79.1454650724967,79
"648",79.5561463318207,79
"649",78.2166741243247,79
"650",78.1587798980907,79
"651",79.5372007913929,79
"653",78.7836347828908,79
"654",78.2900120503366,79
"655",79.2039153567509,79
"658",78.2896218708178,79
"659",79.8953297112503,79
"660",78.9076382910003,79
"661",79.5107473904816,78
"664",79.2715646069092,79
"665",78.7975572877299,79
"666",79.0248224600663,79
"667",79.992568523606,79
"669",78.0577153888725,78
"670",79.3835182929955,79
"671",80.3838439269669,79
"672",79.547350103597,79
"673",80.3945088464866,79
"674",78.6101557609371,79
"675",79.7086491388794,79
"676",78.2892847636337,79
"677",78.8015027459265,79
"678",77.4005330322308,79
"680",79.341583286647,79
"681",79.2494588715834,79
"682",79.1895587614817,79
"683",79.525281600417,79
"684",79.6087139163548,79
"688",76.5949080569402,79
"689",78.2893931759,79
"690",78.2879361089015,79
"691",80.0623901798222,79
"692",78.6535007421154,79
"693",78.5268217032093,79
"694",78.049304245555,79
"695",78.6844679762911,79
"696",79.2272513337919,79
"697",78.1708712314799,79
"698",78.9786496302673,79
"699",78.6579123132686,79
"700",76.9063635290086,79
"701",78.2719907677184,79
"702",78.4904467568896,79
"704",81.0335246166966,79
"705",78.3381306534753,79
"707",77.9816622695562,78
"708",78.6120618612859,78
"709",76.5180394677267,78
"710",79.1094525878411,78
"712",77.5020534030698,78
"713",77.5073062438876,78
"714",77.2935329469295,78
"715",76.6289707483688,78
"717",76.9605111950903,78
"718",77.9255405237054,78
"722",78.1569645600008,78
"725",77.2906193591846,78
"727",76.608666619979,78
"728",77.2897659656291,78
"730",79.0242937901011,78
"732",78.4869210266683,78
"733",78.3779939156901,78
"736",77.4977749705247,78
"738",77.5827257495845,78
"740",77.2896468159426,78
"741",79.1254281692406,78
"742",78.2033961611744,78
"743",76.3663753209515,78
"744",78.6008444493185,79
"745",77.6929482659962,78
"747",76.7440745176828,78
"750",77.741046931467,78
"751",77.4556916877477,78
"752",78.3624551981165,78
"753",78.2515224401537,78
"754",78.0666256942456,78
"755",77.8073208719136,78
"756",77.2908936678533,78
"758",77.290105318636,78
"759",79.121546867543,78
"760",77.6357540941931,78
"761",77.7933506984167,78
"762",76.9457321402799,78
"763",79.4094995484375,78
"764",78.1177776326582,78
"765",77.3744152377814,78
"766",79.5245278270135,78
"767",77.5179463585149,78
"768",77.2903923753194,78
"769",78.0536212429866,78
"772",77.4986599063401,78
"774",78.6863602649876,78
"775",78.2283754636011,78
"776",77.2894296983201,78
"777",77.2390419249248,78
"778",77.9129311562552,78
"780",78.8938427376547,78
"782",78.1729269596828,78
"783",78.2210839681191,78
"785",77.2903765026409,78
"786",77.8491867644411,78
"787",77.5991938429044,78
"788",78.9112783598606,78
"791",77.5568213228265,78
"792",77.3136903841795,78
"793",77.2912238004068,78
"795",76.8925160987624,78
"796",80.7829226271556,78
"797",78.4888727337807,78
"798",78.3179445797999,79
"799",78.7073749106241,78
"800",78.7990045381501,78
"801",76.9790123542538,77
"802",77.2895651240654,78
"803",78.4594533225359,78
"804",78.269930937508,78
"805",76.1022700340003,78
"806",77.4374170535272,78
"808",78.2692702642525,78
"809",78.3989123957204,78
"811",77.3299700783286,78
"812",77.6883505464363,78
"814",77.2902296559981,78
"817",78.6686991715966,78
"818",77.7076670345704,78
"819",77.4182369935955,78
"820",77.2907098728371,78
"821",78.4792483259491,78
"822",77.9411916155831,78
"823",77.8181171399447,78
"824",79.2796397638521,78
"827",77.6460992912363,78
"828",77.2903728622677,78
"829",78.1196046105605,78
"830",77.8624912482386,78
"832",77.2937706410168,78
"834",77.7160971008004,78
"836",77.9215885461666,78
"837",77.9219941698544,78
"839",77.2888976115698,78
"840",77.2919296955229,78
"841",78.7087922065465,78
"844",78.290569914303,78
"845",78.1824884089211,78
"846",77.2264385817055,78
"847",77.2903331607827,78
"849",78.8198852813528,78
"850",76.9030389035887,77
"851",76.9834469781693,78
"852",78.1354785620062,78
"853",76.8168461327353,78
"857",78.6646934843746,78
"858",76.895627040897,78
"860",77.3712824302661,78
"861",77.7755667677778,78
"863",77.291676888431,78
"864",78.2889783689699,78
"865",78.6105134574372,78
